sample,category
Main cheering slogan going to be Go home Gota 2022 😜😜,politcs
R எழுத்துல பேர் வைச்சிருக்கிறவங்க ரொம்ப குள்ள நரித்தனமானவர்களாமே உண்மையா 🤣,politcs
இவ எல்லாரையும் கோர்த்து விட‌ பாக்குறா உசாரா இருங்க ‌மக்களே 🤪,politcs
ஆமா உண்மைதான் Rajapaksha😂😂,politcs
இராஜ தந்திரம் அது,politcs
இருக்கும் அதுதான் என் பின்னாலயும் ஒரு R நரி<cm> நிம்மதியாய் இருக்க விடாமல் சுத்துது 😄,politcs
வேட் கேட்டுவராவன் கல்வித்தகைமை பார்த்தே உள்ளுக்குள் எடுங்கள்,politcs
வரும்.   தேர்தல்.   உங்கள்.  வீட்டு.  வாசலில்.     பழைய.  செருப்பு.    பழைய.  விலக்குமாறு.     தாயார்.  படுத்தி.   கொள்ளவும்.   வோட்டு.   கேட்டு.  வருகின்றவருக்கு.      தாயன்மையுடன்.  கேட்டு கொள்கிறேன்,politcs
Gota go home,politcs
வாகனத்தை பறிக்கணும்,other
உண்மையில் ஆத்திரப்படக்கூடிய காணொளிதான்....அன்றாடம் நடக்கின்ற விபத்துகளைப்பார்த்தாவது இவனுகளுக்கு புத்தி வருதில்லையே! சனநடமாட்டமுள்ள ஒரு நாற்சந்தியால் பெரிய வாகனமொன்றை வேகமாக ஓட்டி வருபவன் புத்திகுறைபாடுள்ளவனாகத்தான் இருக்கமுடியும்!,other
தவறுதான் இருந்தாலும் நீங்கள் முன்னால் கோட்டக் கல்வியதிகாரி பொதுத் தளத்தில் நாகரிகமான சொற்களைப் பிரயோகிப்பது சிறந்தது கூறியது பிழையெனில் மன்னியுங்கள்,other
ரோட்டால போகயே பயமா இருக்கு சீதேவிகாள்,other
ஏன் சேர் உசுப்பேற்றி வன்முறையை தூண்டுறிக.\nமறுவா நீலக்கண்ணீர் வடிக்கனுமே.,other
இதில் வரிசையில் நிக்காமல் ம.எண்ணெய்<cm>காஸ்க்கு நிக்கும் பெண்களையும்<cm>வயோதிபர்களையும் வீட்டுக்கு அனுப்பிவிட்டு  அங்கு போய் வரிசையில் நில்லுங்கள்.\nஇப்போதுள்ள நாட்டு நிலமையில் இது தேவையா? ஐந்து சதத்திற்கும் பிரியோசனம் இல்லாததற்கு பணத்தை ஏன் வீனடிக்கிறீர்கள்?உங்களுக்கு மேலதிகமாக பணம் இருப்பின் அதில் உணவுக்கு தற்போது கஷ்டப்படுவோருக்கு உணவுப்பொருட்கள் வாங்கிக் கொடுக்கலாமே?\nஇதுதான் அரசாங்கம் !இந்த நிலமையிலும் வேறு நாட்டவர்களை கொண்டுவந்து கிரிக்கட்டை பொழுது போக்கி பிரச்சனைகள் இல்லாமல் திசை திருப்புகிறது.ஏன் ?சனி<cm>ஞாயிறு ஊர்வலங்கள் இல்லாமல் செய்வதற்கு good,politcs
நம் நாட்டு மக்கள் வரிசைக்கு இசைவாக்கமடைந்து விட்டார்கள்.,politcs
Sri lankan ku irukkura ore oru entertainment ithu mattu than,politcs
நான் நினைக்க எல்லோரும் ஆவுஸ்திரேலியாவுக்கு சப்போர்ட் பன்னுவாங்க என்டு,politcs
இப்போது இது ரெம்ப ரெம்ப முக்கியம் மடமையில் வாலும் மக்கள் இன்னும் இருக்கிறார்கள்,politcs
Naadu erukura nilamaikku ethu romba mukkiyam,politcs
எம் மக்களை  திருத்த  முடியாது,politcs
மக்களை திசை திருப்பும் வேலை ஆரம்பம்,politcs
வல்ல நாயன் \nஅதற்கான அனைத்து சாதகங்களையும் தங்களுக்கு தந்தருள்வானாக<cm> ஆமின்!,religion
மக்கள் உணவுக்காக போராடும் போது சுன்னத்தான ஹஜ் செய்வதா என்று சிலர் அங்கலாய்ப்பு.\nஉங்களது கருத்துரைகள் யாவை?,religion
காலத்துக்கேற்ப முன்னுரிமை கொடுக்கப்படவேண்டிய விடயங்களில் முன்னுரிமை கொடுக்காது விட்டால் பின்விளைவுகள் மோசமாக இருக்குமே ...,religion
மக்களுக்கு முதன்மை விடயங்கள் பற்றிய தெளிவுகள் கொடுக்கப்பட வேண்டும் உஸ்தாத்,religion
பஞ்சம் ஹாஜியார்களால்  தோற்றுவிக்கப்படவில்லை. சொந்தஉழைப்பில் இருபதுலட்சத்துக்கு ஹஜ் செய்யும் ஹாஜிகளை விட்விட்டு சுரண்டலில் கோடிகளை பதுக்கியிருக்கும் அரசியல்வர்க்கத்தை கேள்விக்குட்படுத்தலாமே ஹசரத்!!,religion
ஒரு தடவை ஹஜ்<cm> உம்ராவுக்கு சென்றவர்கள் மறுபடியும் செல்லாமல் அந்தப் பணத்தை சதகத்துல் ஜாரிய்யாவாக பயன் படுத்தலாம் . குறிப்பாக கல்விக்கு பயன் படுத்தலாம்,religion
அரசியல்வாதிகளின் தான்தோன்றி தனமாக கொள்கைகளினால் ஒரு முழுமையான நாட்டையே குட்டிசுவராக மாற்றி உள்ளார்கள். இறைவன் தான் இந்த ஏழை மக்களின் சுமைகளை குறைக்க வேண்டும்.,politcs
உங்கள் அரசாங்கம் குறுகிய காலத்தில் மகசூல் தர கூடிய   பயிர்களை.பயிரிட்டால் என்ன விரைவில் பிரச்சனைக்கு தீர்வு கிடைக்கும் இல்லையா,politcs
அண்ணா எங்கள் தமிழ்நாட்டில் தமிழை சரியாக உச்சரிப்பு பேச முடியவில்லை ஆனால் உங்கள் தமிழில் அதில் அழகான தமிழில் நீங்கள் பேசும் வார்த்தைகள் எனக்கு ரொம்ப பிடிக்கும் இந்த பொருளாதார நெருக்கடியில் இருந்து உங்கள் நாடு மீண்டு வர எனது வாழ்த்துக்கள்,ethnicity
இலங்கை மொத்த மக்கள் தொகையே இரண்டு கோடியே 16 லட்சம் மட்டுமே...இத்தனை நாடுகள் உதவி செய்தும் தூக்கி நிறுத்த முடியவில்லை என்றால்?? 141 கோடி மக்கள் தொகை கொண்ட இந்திய நாட்டை வளர்ச்சியை நோக்கி கொண்டு செல்வது என்பது சாதாரண வேலை அல்ல...எனவே ஆண்டவன் அருளால் இலங்கை இதில் இருந்து மீண்டு வர வேண்டுகிறேன்.,politcs
அருமை நல்ல தகவலை சகோதரா பதிவிட்டு இருக்கிறீர்கள் நமது நாட்டில் மட்டு அல்ல எல்லா நாடுகளிலும் எல்லா விதமான சாமான்களும் விலை றிபிளாக கூடி இருக்கிறது சம்பளம் மட்டும் கூடவில்லை இது நமது நாட்டை பொறுத்தவரையில் வீடுகளில் பயிர்களைவைத்து வீட்டு வீட்டு தெவைக்கு பயன் படுத்தலாம் நமது நாட்டையும் முன் ஏர்ரலாம் குறிப்பாக யாழ்ப்பாண பக்கங்கள் இப்போது அங்கு எவரும் கஸ்ரபடுவது இல்லை காசை கொடுத்து வாங்கி சமைத்து சாப்பிட்டு ரீவியுடன் பொளுதை களிக்கிறார்கள் மீன்பை போல இலலை அத்துடன் சாப்பாட்டு சாமான்களுய் எனி இல்லை எண்டு அவசிய ஆனவர்ரை மட்டும் வாங்கி பாவியுங்கள் உதாரணத்துக்கு நாங்கள் இங்கு சீனி தெங்காய் இப்படி பலது வாங்குவது பாவிப்பது கிடையாது நான் இதை பதிவிட்ட காரணம் ஒருவருக்கு சரி பயன்படும்,politcs
இந்தியாவுடன் இலங்கையை இணைத்து விட்டால் என்ன,politcs
உங்களை போல எங்களை நல்ல உத்தியோகத்தில் ( மூன்று வேலை சாப்பிட்டு வந்த நமக்கே) இருப்பவர்களுக்கே.. உண்மையில் இந்தவிலை வாசியில் வாழ்வது ரொம்ப கடினம். ஏற்கனவே வறுமை கோட்டில் இருக்கும் மக்கள் நிலமை😭😭,politcs
இன்றும் இந்த அரசாங்கம் நாட்டுமக்களின் நிலையைப் பற்றி சிந்திக்காது<cm> வெறுமனே பணத்திற்காக பதவியை கட்டிப்பிடித்துக் கொண்டிருக்கின்றது உண்மை,politcs
சம்பளத்த அரசாங்கம் உசத்திடுவாங்க,politcs
கொடுமையான காலகட்டத்தில் இருக்கிறீர்கள் <cm>விரையில் நிதி நிலைமை சரியாக இறைவனை பிரார்த்திக்கிறேன்,politcs
தாங்களின் சுத்தமான தமிழ் பேச்சை கேட்க மீண்டும் மீண்டும் ஆவலுடன் எதிர்பார்த்து காத்திருக்கிறேன்,ethnicity
God bless Srilanka.,politcs
பொருட்களின் விலைகள் மட்டுமே அதிகரிக்கபடுகின்றது.  மக்களின் ஊதியம் அதிகரிப்பது பகல் கனவாகவே இருக்குகின்றது.,politcs
நாட்ட விட்டு ஓடிரலாம் போல இருக்கே,politcs
நாட்டின் தற்போதைய பொருகளின் விலைகளை தெரியப்படுத்தியிருக்கிறீர்கள் உங்கள் சனலுக்கு நன்றி வாழ்த்துகள்.,politcs
Praying for. S. Lanka.,politcs
உங்கள் பிரதமர் கணித்தபடி உணவு நெருக்கடி உங்கள் நாட்டைப் பாதித்துள்ளது. ஆனால் இந்த நிலை விரைவில் கடந்துவிடும் என்று நான் நம்புகிறேன். சர்வதேச நாணய நிதியம் நிச்சயமாக இலங்கைக்கு பிணை எடுப்பதற்கு உதவும் மற்றும் நிலைமைகள் இயல்பு நிலைக்கு திரும்பும். நிலைமை சீராகும் வரை இந்தியர்கள் உங்களுக்கு ஆதரவாக இருப்பார்கள்.,politcs
வெளிநாட்டு கடன் உதவிகள் கிடைப்பதில் எமது நாட்டுக்கு எந்த பிரயோசனமுமில்லை.மூன்று வருடங்களுக்கு முன்பு கிடைத்த உதவிகளை சரியாக பயன்படுத்தாத காரணத்தால் இன்று நாங்கள் இந்த நிலமைக்கு தள்ளப்பட்டுள்ளோம்.,politcs
Rompa kodumai panam Kasu ullavangale ipudi yosikkum podhu varumanam illadha makkalin nilai ennavo iraiva lanka palaya nilaikku Seeikrom thirumpanum ena Iraivanai vendukiran indha nilamai yentha nattirkum vara kudadhu da kadavule,politcs
இலங்கையில் வாழ்வது கஷ்டம்தான்...,politcs
ஏழை மக்களுக்கு ஒரு நாளைக்கு 3 வேலை சாப்பாடு சாப்பிடுவதற்கு கூட கஷ்டமாக உள்ளது,politcs
Oh God...Destroy the demons that pushed a nation to this hell.,politcs
பசி கொடுமை தாண்டவம் 😢😒😢😒,politcs
Can you post the struggles of day laborers and estate laborers. Theirife must be tougher than many and need exposure. Thanks for your work!,politcs
இலங்கையின் நிலமை கவலை  அளிக்கிறது Bro,politcs
I have one think கொஞ்சம் பாருங்க இலங்கை மட்டும் இந்த நிலம இல்ல உலகம் முழுவதும் பஞ்ச நிலனமக்கு தள்ளப்பட்டுள்ளது இலங்கை விட பெரும் ஆபத்தில் உள்ளது EU உலகத்தில் ஏற்பட்டுள்ள இந்த நிலனமக்கு பின்னால்  பெரும் அரசியல் போக்கு உள்ளது,politcs
நீங்கள் பதிவிடும் வீடியோக்கள் அனைத்தும் பயனுள்ளதாக இருக்கின்றது அதுபோல் இதை பார்த்துக்கொண்டிருக்கும் அனைவருக்கும் ஒரு நம்பகமான யூடியூப் பர்கள நீங்கள் இலங்கை இதற்கு முன்பு விடுதலைப்புலிகளுக்கு செய்திருக்கும் அனைத்து விதமான இடையூறுகள் விடுதலைப்புலிகள் இலங்கை அரசு நிர்வாகம் பண்ணிய துறைகளை விட அதிகமான துறைகளை கட்டமைப்பு அங்குள்ள மக்களை சண்டை நடக்கும் காலத்திலும் காப்பாற்றிய மாமனிதர்கள் சண்டை நடக்கும் காலத்திலும் இல்லாத பொருளாதார நெருக்கடி எதனால் வந்தது தமிழர்களை உழைக்கும் வர்க்கத்தை ஓரங்கட்ட நினைத்த சிங்கள அரசின் சாம்ராஜ்யம் அனைத்தும் தற்பொழுது தவிடு பொடியாகி விட்டது ஒரு நாட்டில் உழைக்கும் வர்க்கம் இல்லையென்றால் அவன் எவ்வளவு பெரிய அதி மேதாவியாக இருந்தாலும் அந்த நாடும் சரி வீடும் சரி கெட்டு குட்டிச்சுவர் ஆகி விடும் அதற்கு உதாரணம் இலங்கை உழைக்கும் மக்களை வஞ்சித்த இலங்கை அரசு தற்பொழுது அதன் பலனை அனுபவித்துக் கொண்டிருக்கின்றது இதுதான் நிதர்சனமான உண்மை இலங்கை மட்டுமல்ல எந்த நாடாக இருந்தாலும் இலங்கையை வைத்து பாடம் கற்றுக்கொள்ள வேண்டும் யார் அதிகமாக எந்த இனம் அதிகமாக இருந்தாலும் உழைக்கும் வர்க்கத்திற்கு முக்கியத்துவம் கொடுக்கவில்லை என்றால் அடி பாதாளத்திற்கு செல்லும் என்பதற்கு சாட்சி தற்போது உள்ள காலத்தில் இலங்கை முன்னுதாரணம்,ethnicity
அங்கு உள்ள அரசியல்வாதிகளின் அலட்சியம்தான் இதற்குக் காரணம் என்று நான் நினைக்கிறேன்,politcs
கோட்டா போ வீட்ட,politcs
just use that money on providing proper internet and give YouTubers to promote Sri Lanka and give them access to use drones without charging them 10000 rs per day and getting the permission for a drone shot take days,politcs
What ever \nU r now zero \nBecause ur boss both r failed \nPm n president,politcs
Highly doubt this… I don’t think he wud have gone to promote tourism<cm> but maybe begging to ask for a chance to act as a minor role in some Indian movies 🤣🤣🤣,politcs
He needs some entertainment so he goes after some models 😀,politcs
Do not make it as $1 billion for this promotion think and do.\nThen they get $1 million balance vanish,politcs
He is good for humanitarian missions<cm> not to lead country,politcs
Atleast he has the humanity to visit these effected people<cm> as no other minister can go to public these days as they will be definitely chased out by the public. SP never let down the public protest demands.,politcs
Congratulations sir all the best  thanks  sir  madam,politcs
Another way of doing politic with deaths 🥲,politcs
Disgusted of politics in srilanka. Every opportunity for branding,politcs
please stop drugs which is targeting poor in the rural areas..,politcs
Stop promoting political parties pls,politcs
Collecting votes on death,politcs
Why is this news?,politcs
Political drama 🎭,politcs
இங்கேயும்<dq> கொட்டபாயவா <dq>?,politcs
No allowed to buy land at sinhala people. This aver hindiu place,ethnicity
போலீஸ்காரர்களுடன் இப்படி தைரியமாக எதிர்த்து பேசுவதற்குக் கூட கோட்டாகோகமவில் போராடும் இளைஞர்களின் நியாயமான போராட்டமே காரணம்!,politcs
சிங்களவனுக்கு ஒரு சட்டம் தமிழனுக்கு ஒரு சட்டமா \nWell done guys,ethnicity
இதென்ன காவல்துறைய அல்லது ரவுடி கும்பலா இது தமிழர்களை தான் பயப்படுத்தும் வேலை நாட்டில் ஒரே saddama அல்லது வேறொரு sadama தமிழர்கள் என்ன பாவம் செய்தார்கள் கடவுளே 🙏😭😭😭,ethnicity
ஊடகங்கள் சுதந்திரமாக செயற்பட நாட்டிலுள்ள சகல தரப்பினரும் ஒத்துழைக்கவேண்டும்.\nஊடகங்களே நாட்டிலுள்ள பொதுமக்களுக்கு செய்திகளைத் தெரியப்படுத்த வேண்டிய பொறுப்பிலுள்ளவர்கள்.,politcs
தைரியமிக்க  முல்லைமண் ஊடகவியலாளர்ரை தலைவணங்குகிறேன்.,ethnicity
அதான் கெத்து தமிழன்டா,ethnicity
வீரத் தமிழன்💪\nAwesome bro 👏👏👏,ethnicity
கெத்தான தமிழ் மகன்....,ethnicity
அண்ணா எல்லாருக்கும் எப்படி தைரியம் வந்த இவங்க கத சரி,ethnicity
Gotta go home வாழ்க,politcs
தமிழனின் வீரம் இது போலவே  இருக்கணும்,ethnicity
நீ தமிழன்டா அண்ணா,ethnicity
இடம் கொடுத்தாதால்தான் இந்த நிலமை<cm> இந்தமாதிரி துணிந்து நின்றால் இவர்களின் ஆட்டம் எடுபடாது.,ethnicity
Don<sq>t speaking your minister  all  take money rajapakha family,politcs
Your all ripot i see  . Soliution no,politcs
அய்யா !\nO/l  பரீட்சை என்பது இளைய சமூகத்தின் எதிர் காலம் அல்ல. இது மாணவர்களின் திறமைகளை முடக்கி விடுகின்றது. இன்றைய நிலைமையின் படி இலங்கையின் கல்வி கொள்கை வீழ்ச்சியடைந்துள்ளது.. ஆகவே இது போன்ற மாணவர்களின் சிறு சிறு தவறுகளை பெரிது படுத்த வேண்டாம்.,other
பாராளுமன்ற உறுப்பினர் சாணக்கியன் இடம் இதைக் கூறவும் அவர் உடனடியாக நடவடிக்கை எடுப்பார்,politcs
இது எந்த பரீட்சை என்று தெரியவில்லை இலங்கையில் நாட்டு தலைவர்கள் கள்ள ஓட்டில் தான் வருகிறார்கள்,politcs
Sir..\nநாட்டில் இன்னும் பல பிரச்சினைகள் உள்ளன. அதுக்கு எவனும் பேச மாட்டான்... ஆனால் பாடசாலை பிள்ளைகள் ஏதாவது குற்றம் செய்தால் எல்லோரும் முண்டியடித்துக் கொண்டு வர வேண்டியது... \n\nA/l கூட சித்தியடையாமால் ஒருத்தன் சட்டக் கல்லூரியில் சட்டம் பயின்று பட்டம் பெற்றான் என்பது இலங்கையில் மாத்திரம் தான் இருக்கும்...சோ முதல்ல அத பேசுங்க brother,other
ஊழல்களை ஒழித்து<cm>  misuses தவிர்த்து<cm> சூரிய மின்சக்தியை அபிவிருத்தி செய்தால் மின்கட்டண உயர்வை தவிர்க்கலாம்.,politcs
சாவது முட்டாள்த் தனம் வாழ்ந்து பார்  சாவு ஒருநாள் நம்மைத் தேடி வரும் நாம் போகத் தேவையில்லை,religion
குடி குடியை கெடுக்கும் என்பார்கள் அது இதுதான். RIP😭😭,other
Power cut <cm> Gas not <cm> Petrol not <cm> Diesel not <cm> \nWHAT A PERFORMANCE BY GOVERNMENT,politcs
Former Finance minister without any basic knowledge. People don<sq>t carried out with their sweet mouths.,politcs
Where stolen money ? Give back and go home 😡😡😡🖕😡,politcs
He made it clear that he did not have a ball.  Maybe he just put it in Chichi Baba<sq>s rocket and forgot to take it back.,politcs
He was an utter waste of seat n perks in parliament. Besides being crafty he has no worthy qualities in him.,politcs
No words about Srilanka economy ! When this kind of person held finance minister Post,politcs
இந்த சங்கி மங்கி பயலுங்களுக்கு தெரிஞ்சது S$X மட்டும் தான்.\n--ஆணும் ஆணும் விரும்புகிறார்கள் என்றால் அது வெறும் S$X இற்கு தான்.\n--ஆண் உடலில் ஜனித்த ஒரு பெண் தன் உடலை பெண்ணாக மாற்றுகிறாள் என்றாலும் அது S$X இற்காக மட்டும் தான்.\n\nஎன்ன தான் சிந்தனை இந்த பன்டிக்கூட்டங்களுக்கு!?\n\nஇவர்கள் இணையேற்பு செய்வது <cm> திருமணம் செய்வது<cm> காதலிப்பது என எல்லாவற்றையுமே உடலோடு மட்டும் சம்மந்த படுத்தி ஆபாசமாகவும் S$X ஆகவும் பார்த்து பார்த்து வளர்ந்ததன் விபரீதம் தான் இது.\n\nஅடுத்த முறை நீங்க கல்யாணம் பண்ணிக்க போறீங்க னா உங்க invitation card ல  <dq>இரு மனம் இணையும் திருமண அழைப்பிதழ்<sq><sq> க்கு பதிலா\n<dq>இரு உடல் இணையும் திருமண அழைப்பிதழ்<sq><sq> போடுங்கடா மதவாத சங்கிகளா!\n\n <dq>ஓரினசேர்க்கை<dq> என்பது கூட homo people இற்கான offensive ஆன வார்த்தை என்று மகிழ்வன் gay <cm> மகிழினி lesbian<cm> ஓர்பால் ஈர்ப்பு என்று political correctness கொண்டு வந்து பல காலமாகிறது.\n\ns$x மட்டும் போதும் என்றால் நாலு கதவை சாத்தி விட்டு காதும் காதும் வச்ச மாதிரி போயிருக்கலாம்.\nஏன் இந்த மக்கள் உரிமை<cm> social acceptance வேண்டி போராடுகிறார்கள்?  குறிப்பிட்ட ஒரு நாடு<cm> ஒரு சமுதாயம் என்றில்லாமல் ஏன் எல்லா நாடுகளிலும் சமுதாயத்திலும் இந்த மக்கள் இருக்கிறார்கள்? என்று கொஞ்சம் கூடவும் யோசிக்க மூளையை பாவித்திராத அடிமுட்டாள் மத கூட்டம்.\n\nLGBTQIA  இல் intersex & Asexuals people கூட இருக்கிறார்கள் என்பது கூட தெரியாமல் பொத்தாம் பொதுவாக <dq>ஓரினச்சேர்க்கை<dq> ???🤦🏽‍♀️\n\nசெக்ஸிற்கு செத்த மதவாத கூட்டம்🤧\n\nபடிங்கடா மொதல்ல!😡,gender
Fantastic movie,other
Benefits of the social media platforms in the universe<cm> congratulations,other
This great to explore,other
Very interesting interested to work congrats,other
Have a wonderful time. Congratulations,other
Congratulations<cm> movie is goosebump.,other
we are proud of you.,other
keep it up .,other
double excellent.,other
Congratulations Awesome movie experience.,other
Thanks for bringing back.,other
Excellent ....,other
keep up the amazing work... we are proud of you,other
all your accomplishments keep up the amazing work.,other
Yow ennaya padam edukka sonna diwali ah eduthu vechirukka,other
great entertainment after long time.  best wishes from Sri Lanka,other
Congrats bro for ur hardwork ...,other
Wonderful Team work bro,other
Congratulations fan boys. Done wonderful work and best wishes for your bright future ahead.,other
Congratulations  thz for your bright future ahead  and success in life stay safe with lots of love and happiness enjoy more more sucess for your life stay safe,other
Ur contribution simply superb!,other
your brilliant write up.,other
Good! Congrats!,other
an unexpected one!,other
அட்டகாசமான ஒரு என்டர்டைனர்.,other
ஜொலிக்கிறாப்புல .,other
சிறந்த உதாரணம்.,other
Dominic,other
Very well said,other
They look great,other
Lovely and beautiful video,other
Beautiful.,other
This is very much art.,other
It was a  translucent illusion.,other
Granted<cm> it took a lot of work<cm> but it is truly beautiful.,other
That was creative.,other
I wondered..,other
amazing brilliant idea awesome video that<sq>s great.,other
smart idea!best inspiration person.,other
deserve it.,other
Deserved Success.,other
Hardwork neverfails.,other
Ne mass ya kalakku ya..,other
Amazing Great.,other
best hero.,other
Golden voice🤩,other
Keep mesmerizing us,other
Great Post and true ..,other
Looks good,other
Yummy...,other
So talented ! Brilliant,other
Perfect!!!! 😮👏🏻👏🏻👏🏻,other
Its quiet  impressive!,other
God bless you.,other
surprised abt it,other
Osm movie king of king,other
World very nice,other
Top star of the year,other
Gorgeous ❤️,other
You look fabulous,other
Wow,other
Wonderful,other
Semmaa,other
Congratulations 💕💕 V enjoyed..,other
congratulations and best of luck  brother and best wishes for you,other
Awesome,other
Backbone of the movie,other
Keep waiting   over hype fellows,other
Sambavakaaran,other
100 days poster sir 🎉 Valththukkal,other
மேலும் வெற்றிகளைக் குவிக்க வாழ்த்துக்கள்,other
அருமையான நடிப்பு,other
உண்மையிலேயே உங்கள நாங்க எல்லாரும் ரசிச்சோம்...நீங்கள் மேலும் வளர வாழ்த்துகள்..,other
.அருமை வாழ்த்துக்கள் வளர்க தமிழ் போல்,other
வாழ்க வாழ்க வளமுடன் வணங்குகிறேன்,other
மகிழ்ச்சி 😊 வாழ்த்துக்கள் 🌼🌻,other
அருமை நண்பா அருமை சூப்பர்,other
வேற லெவல் 🔥😍,other
Super mass anna 🔥🔥🔥😘😘😘😘,other
உங்க எளிமை தான் உங்கள் புகழ்க்கு காரணம்....வாழ்க.,other
U r all super sr.,other
Cool fantastic drink,other
So beautiful bro,other
வீரநடைப் பயணிக்கட்டும்.!,other
வாழ்க வளமுடன் நலமுடன்...,other
Cute,other
Beautiful family,other
வாழ்க நீடூழி,other
வளமையுடன் செழுமையுடன்,other
மங்களமாக  பல்லாண்டு வாழ்க 🌹🌹🌹🌹🌹🌹,other
பதினாறு செல்வங்களையும் பெற்று நலமுடனும் வளமுடனும் வாழ்க !!!,other
மனதின் மேடைதனில் மகிழ்ச்சி தாண்டவமாட<cm> மண்ணில் என்றென்றும்<cm> காற்று உம் புகழ் பாட<cm>வல்லோனின் வரங்கள் எல்லைகள் தகர்த்து<cm> எங்கும் என்றென்றும் உங்கள் மீது பொழிந்திடவே!...........,other
வணக்கம் வாழ்த்துக்கள் அம்மா,other
God bless longlive omnamonarayana,religion
Wonderful colourful sweet 🎂🎂🎂,other
Happy journey,other
மகிழ்ச்சி ! நல்வாழ்த்துகள்!,other
இன்று போல் என்றும் வாழ்க,other
Very nice 👍👍👍,other
நல்ல இருங்கள்,other
இனிய குடும்பத்துக்கு வாழ்த்துக்கள்,other
மனமார்ந்த வாழ்த்துக்கள்,other
Sweet akka mama,religion
அன்பே சிவம்வாழ்கவளத்துடன்,other
அருமை,other
தம்பி எங்கய்யா இருந்த இத்தனை நாள். என்ன ஒரு ஆளுமை.,other
சல்யூட்.,other
படம் ரொம்ப அருமை.,other
உங்கள் மதிப்பும் மரியாதையும் பன் மடங்கு உயரும்.,other
நல்லதோர் பாராட்டு,other
Ai roompa super acting,other
Worth 🙏🔥,other
Beautiful lines ❤️,other
So sweet,other
proud of you d,other
sweet and exiting,other
true love wishes to you    da,other
நல்ல முடன் மகிழ்ச்சி உடன் வளமுடன் நல்வாழ்த்துக்கள்,other
0kso.beautiful.couple.,other
